user_name,sex,age,body_height
daniel02,male,23,178
jonathan33,female,21,154
tuckerrobert,female,20,153
campbellsheila,female,25,175
xmartin,female,20,165
thouston,female,23,162
thomasjackson,male,23,185
leah19,female,27,163
susandeleon,female,25,173
chad26,male,26,186
kyle56,female,23,173
nancy38,male,25,178
andersenkelly,female,23,173
diana03,male,23,181
olee,male,24,178
bryanburke,female,21,158
traci38,female,24,182
ricebrian,female,24,167
reeddeborah,male,25,178
kmiller,male,20,183
amandacunningham,male,22,185
john14,male,20,191
jeremynguyen,male,23,183
rfleming,female,19,169
rfleming,female,19,169
fwallace,female,20,182
andrew10,female,21,162
adamsmelinda,female,22,173
dscott,female,20,173
jamesmccall,female,24,165
wendy61,female,21,176
bradley34,female,21,168
shernandez,female,21,167
katelyn50,female,21,166
victoria83,female,19,173
richardbender,female,20,166
ismith,female,19,165
roger11,female,21,171
millerkelly,female,21,177
stephenparsons,female,21,170
andrewmartinez,female,22,172
samuelbrady,female,18,159
gpeterson,female,21,158
colonmichelle,female,25,168
andrewskaren,female,19,175
harry06,female,22,176
gonzalezedwin,female,19,166
kgriffin,female,21,172
brian12,female,18,173
lfisher,female,19,170
valdezkatie,male,26,177
jacksonlisa,female,19,163
rachel81,female,19,174
edwardsjessica,female,19,162
vyoung,female,22,177
adam32,female,19,179
